id,director_id,film_id
619,438,580
620,375,581
621,439,582
622,277,583
623,440,584
624,89,585
625,441,586
626,11,587
627,10,588
628,318,589
629,288,590
630,442,591
631,443,592
632,444,593
633,86,594
634,445,321
635,447,54
636,448,393
637,449,540
638,450,305
639,136,228
640,451,423
641,102,446
642,452,458
