adress,issues_date,lic_status,license,name,url
"VAPE JUNGLE LLC Lic. Status: Issued
2070 CRAIN HIGHWAY UNIT F License: 08131285
WALDORF, MD 20601 Issued Date: 3/31/2017
Charles County",3/31/2017,Issued,08131285,VAPE JUNGLE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=3v%2Bx1zcDL88%3D
"VAPE TIME LLC Lic. Status: Pending
4130 E JOPPA RD UNIT 109
NOTTINGHAM, MD 21236
Baltimore County",,Pending,,VAPE TIME,
"VAPEBAR EXPRESS LLC Lic. Status: Pending
11110 MALL CIRCLE
WALDORF, MD 20603
Charles County",,Pending,,VAPEBAR EXPESS,
"VAPOR 99 LLC Lic. Status: Issued
3524 CRAIN HWY License: 16165362
BOWIE, MD 20716 Issued Date: 5/03/2017
Prince George's County",5/03/2017,Issued,16165362,VAPOR 99,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=wWfED%2BsVkQs%3D
"VAPOR ALLEY LLC Lic. Status: Issued
8117 OCEAN GATEWAY UNIT #4 License: 20170900
EASTON, MD 21601 Issued Date: 5/10/2017
Talbot County",5/10/2017,Issued,20170900,VAPOR ALLEY,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=VzMY551Ibjw%3D
"VAPOR EMPORIUM MD LLC Lic. Status: Issued
11717 OLD NATIONAL PIKE License: 10135432
NEW MARKET, MD 21774 Issued Date: 4/14/2017
Frederick County",4/14/2017,Issued,10135432,VAPOR EMPORIUM,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=MYlH%2FUNu1%2FA%3D
"VAPOR VILLA CORP Lic. Status: Issued
1913 LANSDOWNE ROAD SUITE E License: 03121958
BALTIMORE, MD 21227 Issued Date: 4/12/2017
Baltimore County",4/12/2017,Issued,03121958,VAPOR VILLA,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=gMlz2nh32yk%3D
"VAPOR VILLA CORP Lic. Status: Issued
730 FREDERICK ROAD License: 03121959
CATONSVILLE, MD 21228 Issued Date: 4/12/2017
Baltimore County",4/12/2017,Issued,03121959,VAPOR VILLA,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=MpClKiN69U4%3D
"WALKER TRADING CO INC Lic. Status: Issued
138 N BOND STREET License: 12140135
BEL AIR, MD 21014 Issued Date: 4/03/2017
Harford County",4/03/2017,Issued,12140135,VAPE DOJO,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=PivwE9Kf59Q%3D
"WALKER TRADING COMPANY INC Lic. Status: Pending
11600 CROSSROAD CIR STE E
BALTIMORE, MD 21220
Baltimore County",,Pending,,VAPE DOJO,
"WALKER TRADING COMPANY INC Lic. Status: Pending
11600 CROSSROAD CIR STE E
BALTIMORE, MD 21220
Baltimore County",,Pending,,VAPE DOJO,
"YARKHOUSE EMPIRE INC Lic. Status: Pending
3315 PLAZA WAY
WALDORF, MD 20603
Charles County",,Pending,,VAPEZ YARDHOUSE,
